index Betriebname Milchmenge Fett.B Laktationstag BetriebDatum
210 Niendorf 0.57612234638502 0.0949683213907776 94 Niendorf2009-07-05
211 Vipperow 1.17858249975576 -0.932323697551645 35 Vipperow2009-07-01
212 Niendorf 0.754121937153648 -1.60006350986422 96 Niendorf2009-07-05
213 Usedom -0.0811069118376088 0.831194268299514 58 Usedom2009-07-07
214 Dargun 0.274892269699648 0.146332922337898 63 Dargun2009-07-06
215 Niendorf -0.409721540948923 -0.333070019835232 35 Niendorf2009-07-05
216 Usedom 0.713045108514734 -0.196097750642909 77 Usedom2009-07-07
217 Luebesse 0.0421235740791341 -0.281705418888111 64 Luebesse2009-07-02
218 Niendorf 1.09642884247793 -0.778229894710282 89 Niendorf2009-07-05
219 Dargun 1.19227477596873 -1.53157737526806 55 Dargun2009-07-06
220 Niendorf 0.617199175023934 -1.25763283688341 36 Niendorf2009-07-05
221 Usedom -0.464490645800809 0.386034393424463 71 Usedom2009-07-07
222 Usedom -0.560336579291609 0.180575989635979 74 Usedom2009-07-07
223 Niendorf -0.368644712310009 -0.00776088050346478 99 Niendorf2009-07-05
224 Vipperow 0.781506489579591 -0.949445231200685 70 Vipperow2009-07-01
225 Dummerstorf -0.122183740476523 -0.572771490921797 24 Dummerstor2009-07-02
226 Niendorf 0.76781421336662 -0.24746235159003 35 Niendorf2009-07-05
227 Barth -0.0674146356246374 2.0125800900833 28 Barth2009-07-06
228 Niendorf -0.38233698852298 -0.607014558219878 84 Niendorf2009-07-05
229 Grevesmuehlen 0.945813804135248 0.249062124232141 48 Grevesmueh2009-07-07
230 Usedom -0.176952845328409 -0.384434620782353 59 Usedom2009-07-07
231 Niendorf 0.370738203190448 -0.555649957272757 101 Niendorf2009-07-05
232 Luebesse 0.206430888634791 -0.00776088050346478 38 Luebesse2009-07-02
233 Dummerstorf 0.877352423070391 -0.350191553484273 45 Dummerstor2009-07-02
234 Niendorf -0.998489418106694 -0.384434620782353 45 Niendorf2009-07-05
235 Niendorf -0.601413407930523 -2.02810185109023 51 Niendorf2009-07-05
236 Usedom -0.437106093374866 0.523006662616786 41 Usedom2009-07-07
237 Vipperow 0.398122755616391 0.19769752328502 53 Vipperow2009-07-01
238 Dargun 0.343353650764505 -0.761108361061241 77 Dargun2009-07-06
239 Luebesse -0.779412998699151 1.2078680085784 31 Luebesse2009-07-02
240 Barth -0.47818292201378 0.865437335597594 39 Barth2009-07-06
241 Dargun -0.943720313254809 -0.0591254814505863 76 Dargun2009-07-06
242 Niendorf -1.29971949479207 -0.607014558219878 91 Niendorf2009-07-05
243 Niendorf 0.589814622597991 -0.333070019835232 103 Niendorf2009-07-05
244 Usedom -0.0263378069857231 0.471642061669666 68 Usedom2009-07-07
245 Usedom 0.206430888634791 0.0949683213907776 60 Usedom2009-07-07
246 Dargun 0.493968689107191 -1.08641750039301 25 Dargun2009-07-06
247 Niendorf 0.48027641289422 -0.795351428359322 65 Niendorf2009-07-05
248 Vipperow 0.918429251709305 -0.966566764849726 58 Vipperow2009-07-01
249 Dargun 0.0558158502921055 0.368912859775423 78 Dargun2009-07-06
250 Niendorf -0.300183331245152 -1.60006350986422 23 Niendorf2009-07-05
251 Niendorf 0.822583318218505 0.540128196265828 112 Niendorf2009-07-05
252 Dargun 0.329661374551534 -0.0762470150996263 45 Dargun2009-07-06
253 Dargun 0.713045108514734 2.26940309481891 68 Dargun2009-07-06
254 Usedom -0.57402885550458 1.24211107587648 38 Usedom2009-07-07
255 Niendorf -0.587721131717552 0.112089855039818 115 Niendorf2009-07-05
256 Dargun 0.932121527922277 0.557249729914868 49 Dargun2009-07-06
257 Grevesmuehlen -0.0537223594116659 -0.778229894710282 53 Grevesmueh2009-07-07
258 Vipperow -0.587721131717552 2.28652462846795 65 Vipperow2009-07-01
259 Vipperow 0.179046336208848 -1.49733430796998 47 Vipperow2009-07-01
260 Luebesse -0.834182103551037 2.0125800900833 31 Luebesse2009-07-02
261 Niendorf 0.179046336208848 -1.51445584161902 41 Niendorf2009-07-05
